No House Advantage, P.  Mahomes ,  KC ,  9/07 8:23 PM EDT,  36.5  passing tds  ,  4775.5  passing yards  
No House Advantage, B.  Robinson ,  ATL ,  9/07 8:23 PM EDT,  8.5  rushing tds  ,  1075.5  rushing yards  
No House Advantage, S.  Barkley ,  NYG ,  9/07 8:23 PM EDT,  1000.5  rushing yards  
No House Advantage, C.  McCaffrey ,  SF ,  9/07 8:23 PM EDT,  7.5  rushing tds  ,  875.5  rushing yards  
No House Advantage, R.  Stevenson ,  NE ,  9/07 8:23 PM EDT,  6.5  rushing tds  ,  1000.5  rushing yards  
No House Advantage, N.  Harris ,  PIT ,  9/07 8:23 PM EDT,  7.0  rushing tds  ,  975.5  rushing yards  
No House Advantage, T.  Etienne ,  JAX ,  9/07 8:23 PM EDT,  6.0  rushing tds  ,  950.5  rushing yards  
No House Advantage, A.  Ekeler ,  LAC ,  9/07 8:23 PM EDT,  8.5  rushing tds  ,  775.5  rushing yards  
No House Advantage, J.  Mixon ,  CIN ,  9/07 8:23 PM EDT,  7.5  rushing tds  ,  800.5  rushing yards  
No House Advantage, B.  Hall ,  NYJ ,  9/07 8:23 PM EDT,  6.5  rushing tds  ,  875.5  rushing yards  
No House Advantage, K.  Walker ,  SEA ,  9/07 8:23 PM EDT,  7.5  rushing tds  ,  950.5  rushing yards  
No House Advantage, M.  Sanders ,  CAR ,  9/07 8:23 PM EDT,  900.5  rushing yards  
No House Advantage, D.  Pierce ,  HOU ,  9/07 8:23 PM EDT,  5.5  rushing tds  ,  875.5  rushing yards  
No House Advantage, A.  Jones ,  GB ,  9/07 8:23 PM EDT,  800.5  rushing yards  
No House Advantage, A.  Dillon ,  GB ,  9/07 8:23 PM EDT,  725.5  rushing yards  
No House Advantage, J.  Dobbins ,  BAL ,  9/07 8:23 PM EDT,  6.5  rushing tds  ,  800.5  rushing yards  
No House Advantage, I.  Pacheco ,  KC ,  9/07 8:23 PM EDT,  785.5  rushing yards  
No House Advantage, D.  Montgomery ,  DET ,  9/07 8:23 PM EDT,  725.5  rushing yards  
No House Advantage, C.  Akers ,  LAR ,  9/07 8:23 PM EDT,  6.5  rushing tds  ,  750.5  rushing yards  
No House Advantage, R.  Penny ,  PHI ,  9/07 8:23 PM EDT,  600.5  rushing yards  
No House Advantage, D.  Swift ,  PHI ,  9/07 8:23 PM EDT,  4.5  rushing tds  ,  525.5  rushing yards  
No House Advantage, B.  Robinson ,  WAS ,  9/07 8:23 PM EDT,  800.5  rushing yards  
No House Advantage, J.  Conner ,  ARI ,  9/07 8:23 PM EDT,  6.5  rushing tds  ,  675.5  rushing yards  
No House Advantage, R.  White ,  TB ,  9/07 8:23 PM EDT,  4.5  rushing tds  ,  690.5  rushing yards  
No House Advantage, A.  Mattison ,  MIN ,  9/07 8:23 PM EDT,  7.5  rushing tds  ,  875.5  rushing yards  
No House Advantage, J.  Jefferson ,  MIN ,  9/07 8:23 PM EDT,  8.5  receiving tds  ,  1400.5  receiving yards  
No House Advantage, D.  Adams ,  LV ,  9/07 8:23 PM EDT,  8.5  receiving tds  ,  1300.5  receiving yards  
No House Advantage, J.  Chase ,  CIN ,  9/07 8:23 PM EDT,  10.5  receiving tds  ,  1300.5  receiving yards  
No House Advantage, C.  Kupp ,  LAR ,  9/07 8:23 PM EDT,  10.0  receiving tds  ,  1260.5  receiving yards  
No House Advantage, S.  Diggs ,  BUF ,  9/07 8:23 PM EDT,  9.0  receiving tds  ,  1150.5  receiving yards  
No House Advantage, T.  Kelce ,  KC ,  9/07 8:23 PM EDT,  9.5  receiving tds  ,  1150.5  receiving yards  
No House Advantage, G.  Wilson ,  NYJ ,  9/07 8:23 PM EDT,  8.0  receiving tds  ,  1150.5  receiving yards  
No House Advantage, C.  Lamb ,  DAL ,  9/07 8:23 PM EDT,  7.5  receiving tds  ,  1110.5  receiving yards  
No House Advantage, A.  Brown ,  PHI ,  9/07 8:23 PM EDT,  7.5  receiving tds  ,  1075.5  receiving yards  
No House Advantage, J.  Waddle ,  MIA ,  9/07 8:23 PM EDT,  7.0  receiving tds  ,  1100.5  receiving yards  
No House Advantage, C.  Olave ,  NO ,  9/07 8:23 PM EDT,  5.5  receiving tds  ,  1025.5  receiving yards  
No House Advantage, A.  St. ,  DET ,  9/07 8:23 PM EDT,  5.5  receiving tds  ,  1035.5  receiving yards  
No House Advantage, T.  Higgins ,  CIN ,  9/07 8:23 PM EDT,  7.0  receiving tds  ,  1000.5  receiving yards  
No House Advantage, A.  Cooper ,  CLE ,  9/07 8:23 PM EDT,  6.5  receiving tds  ,  965.5  receiving yards  
No House Advantage, D.  Metcalf ,  SEA ,  9/07 8:23 PM EDT,  7.5  receiving tds  ,  975.5  receiving yards  
No House Advantage, D.  Smith ,  PHI ,  9/07 8:23 PM EDT,  6.5  receiving tds  ,  1000.5  receiving yards  
No House Advantage, C.  Ridley ,  JAX ,  9/07 8:23 PM EDT,  6.0  receiving tds  ,  900.5  receiving yards  
No House Advantage, M.  Evans ,  TB ,  9/07 8:23 PM EDT,  7.0  receiving tds  ,  935.5  receiving yards  
No House Advantage, J.  Jeudy ,  DEN ,  9/07 8:23 PM EDT,  5.5  receiving tds  ,  900.5  receiving yards  
No House Advantage, D.  Moore ,  CHI ,  9/07 8:23 PM EDT,  4.5  receiving tds  ,  825.5  receiving yards  
No House Advantage, K.  Allen ,  LAC ,  9/07 8:23 PM EDT,  5.5  receiving tds  ,  885.5  receiving yards  
No House Advantage, M.  Williams ,  LAC ,  9/07 8:23 PM EDT,  5.5  receiving tds  ,  810.5  receiving yards  
No House Advantage, C.  Kirk ,  JAX ,  9/07 8:23 PM EDT,  5.5  receiving tds  ,  835.5  receiving yards  
No House Advantage, T.  McLaurin ,  WAS ,  9/07 8:23 PM EDT,  4.5  receiving tds  ,  890.5  receiving yards  
No House Advantage, D.  Johnson ,  PIT ,  9/07 8:23 PM EDT,  835.5  receiving yards  
No House Advantage, M.  Andrews ,  BAL ,  9/07 8:23 PM EDT,  6.5  receiving tds  ,  885.5  receiving yards  
No House Advantage, D.  London ,  ATL ,  9/07 8:23 PM EDT,  4.5  receiving tds  ,  850.5  receiving yards  
No House Advantage, T.  Lockett ,  SEA ,  9/07 8:23 PM EDT,  6.0  receiving tds  ,  875.5  receiving yards  
No House Advantage, M.  Brown ,  ARI ,  9/07 8:23 PM EDT,  4.5  receiving tds  ,  815.5  receiving yards  
No House Advantage, M.  Pittman ,  IND ,  9/07 8:23 PM EDT,  4.5  receiving tds  ,  830.5  receiving yards  
No House Advantage, D.  Samuel ,  SF ,  9/07 8:23 PM EDT,  4.5  receiving tds  ,  750.5  receiving yards  
No House Advantage, G.  Kittle ,  SF ,  9/07 8:23 PM EDT,  5.5  receiving tds  ,  725.5  receiving yards  
No House Advantage, G.  Pickens ,  PIT ,  9/07 8:23 PM EDT,  4.5  receiving tds  ,  750.5  receiving yards  
No House Advantage, C.  Godwin ,  TB ,  9/07 8:23 PM EDT,  5.5  receiving tds  ,  795.5  receiving yards  
No House Advantage, T.  Burks ,  TEN ,  9/07 8:23 PM EDT,  725.5  receiving yards  
No House Advantage, J.  Smith-Njigba ,  SEA ,  9/07 8:23 PM EDT,  725.5  receiving yards  
No House Advantage, K.  Pitts ,  ATL ,  9/07 8:23 PM EDT,  4.5  receiving tds  ,  715.5  receiving yards  
No House Advantage, A.  Lazard ,  NYJ ,  9/07 8:23 PM EDT,  4.5  receiving tds  ,  685.5  receiving yards  
No House Advantage, C.  Sutton ,  DEN ,  9/07 8:23 PM EDT,  5.5  receiving tds  ,  725.5  receiving yards  
No House Advantage, D.  Waller ,  NYG ,  9/07 8:23 PM EDT,  700.5  receiving yards  
No House Advantage, A.  Thielen ,  CAR ,  9/07 8:23 PM EDT,  4.5  receiving tds  ,  550.5  receiving yards  
No House Advantage, O.  Beckham ,  BAL ,  9/07 8:23 PM EDT,  575.5  receiving yards  
No House Advantage, D.  Goedert ,  PHI ,  9/07 8:23 PM EDT,  3.5  receiving tds  ,  675.5  receiving yards  
No House Advantage, R.  Woods ,  HOU ,  9/07 8:23 PM EDT,  560.5  receiving yards  
No House Advantage, E.  Engram ,  JAX ,  9/07 8:23 PM EDT,  3.5  receiving tds  ,  655.5  receiving yards  
No House Advantage, K.  Toney ,  KC ,  9/07 8:23 PM EDT,  5.5  receiving tds  ,  640.5  receiving yards  
No House Advantage, T.  Patrick ,  DEN ,  9/07 8:23 PM EDT,  525.5  receiving yards  
No House Advantage, D.  Njoku ,  CLE ,  9/07 8:23 PM EDT,  555.5  receiving yards  
No House Advantage, T.  Higbee ,  LAR ,  9/07 8:23 PM EDT,  4.5  receiving tds  ,  500.5  receiving yards  
No House Advantage, D.  Knox ,  BUF ,  9/07 8:23 PM EDT,  4.0  receiving tds  ,  425.5  receiving yards  
No House Advantage, Q.  Johnston ,  LAC ,  9/07 8:23 PM EDT,  580.5  receiving yards  
No House Advantage, C.  Watson ,  GB ,  9/07 8:23 PM EDT,  4.5  receiving tds  ,  775.5  receiving yards  
