BettingSite, Date, PlayerName, Score, ScoreType
PrizePicks, Mon, Jul 31 9:00 AM, Guido Pella, 1.5, Aces
PrizePicks, Mon, Jul 31 5:00 AM, Daniel Elahi Galan, 15.5, Fantasy Score
PrizePicks, Mon, Jul 31 5:00 AM, Luca Van Assche, 13.5, Fantasy Score
PrizePicks, Mon, Jul 31 6:15 AM, Filip Misolic, 16.5, Fantasy Score
PrizePicks, Mon, Jul 31 6:15 AM, Juan Pablo Varillas, 13.5, Fantasy Score
PrizePicks, Mon, Jul 31 7:30 AM, Sebastian Baez, 14.0, Fantasy Score
PrizePicks, Mon, Jul 31 9:00 AM, Roberto Carballes Baena, 14.5, Fantasy Score
PrizePicks, Mon, Jul 31 12:00 PM, Emil Ruusuvuori, 21.5, Fantasy Score
PrizePicks, Mon, Jul 31 12:00 PM, Juncheng Shang, 21.0, Fantasy Score
PrizePicks, Mon, Jul 31 1:30 PM, Michael Mmoh, 20.0, Fantasy Score
PrizePicks, Mon, Jul 31 1:30 PM, Maxime Cressy, 20.5, Fantasy Score
PrizePicks, Mon, Jul 31 1:30 PM, Yibing Wu, 18.5, Fantasy Score
PrizePicks, Mon, Jul 31 3:00 PM, Aslan Karatsev, 22.5, Fantasy Score
PrizePicks, Mon, Jul 31 4:00 PM, Mackenzie McDonald, 18.0, Fantasy Score
PrizePicks, Mon, Jul 31 4:30 PM, Marcos Giron, 19.5, Fantasy Score
PrizePicks, Mon, Jul 31 4:30 PM, Liam Broady, 12.5, Fantasy Score
PrizePicks, Mon, Jul 31 6:00 PM, Gregoire Barrere, 15.0, Fantasy Score
PrizePicks, Mon, Jul 31 8:30 PM, Gael Monfils, 21.0, Fantasy Score
PrizePicks, Mon, Jul 31 12:00 PM, Belinda Bencic, 17.5, Fantasy Score
PrizePicks, Mon, Jul 31 12:00 PM, Ludmilla Samsonova, 14.5, Fantasy Score
PrizePicks, Mon, Jul 31 1:30 PM, Bianca Andreescu, 14.5, Fantasy Score
PrizePicks, Mon, Jul 31 6:00 PM, Daria Kasatkina, 18.0, Fantasy Score
PrizePicks, Mon, Jul 31 7:00 PM, Elina Svitolina, 12.5, Fantasy Score
PrizePicks, Mon, Jul 31 5:00 AM, Viktoriya Tomova, 14.0, Fantasy Score
PrizePicks, Mon, Jul 31 5:00 AM, Dayana Yastremska, 18.5, Fantasy Score
PrizePicks, Mon, Jul 31 6:15 AM, Nao Hibino, 16.5, Fantasy Score
PrizePicks, Mon, Jul 31 6:15 AM, Viktoria Hrunčáková, 10.0, Fantasy Score
PrizePicks, Mon, Jul 31 8:00 AM, Marie Bouzkova, 21.5, Fantasy Score
PrizePicks, Mon, Jul 31 9:30 AM, Alizé Cornet, 20.5, Fantasy Score
PrizePicks, Mon, Jul 31 5:00 AM, Daniel Elahi Galan, 3.5, Break Points Won
PrizePicks, Mon, Jul 31 5:00 AM, Luca Van Assche, 3.0, Break Points Won
PrizePicks, Mon, Jul 31 6:15 AM, Filip Misolic, 3.0, Break Points Won
PrizePicks, Mon, Jul 31 6:15 AM, Juan Pablo Varillas, 3.5, Break Points Won
PrizePicks, Mon, Jul 31 7:30 AM, Sebastian Baez, 3.0, Break Points Won
PrizePicks, Mon, Jul 31 9:00 AM, Roberto Carballes Baena, 3.5, Break Points Won
PrizePicks, Mon, Jul 31 12:00 PM, Emil Ruusuvuori, 3.5, Break Points Won
PrizePicks, Mon, Jul 31 12:00 PM, Juncheng Shang, 3.5, Break Points Won
PrizePicks, Mon, Jul 31 1:30 PM, Maxime Cressy, 2.0, Break Points Won
PrizePicks, Mon, Jul 31 1:30 PM, Yibing Wu, 3.0, Break Points Won
PrizePicks, Mon, Jul 31 4:00 PM, Mackenzie McDonald, 3.5, Break Points Won
PrizePicks, Mon, Jul 31 4:30 PM, Marcos Giron, 3.0, Break Points Won
PrizePicks, Mon, Jul 31 4:30 PM, Liam Broady, 3.0, Break Points Won
PrizePicks, Mon, Jul 31 12:00 PM, Belinda Bencic, 4.5, Break Points Won
PrizePicks, Mon, Jul 31 12:00 PM, Ludmilla Samsonova, 4.0, Break Points Won
PrizePicks, Mon, Jul 31 1:30 PM, Bianca Andreescu, 4.5, Break Points Won
PrizePicks, Mon, Jul 31 6:00 PM, Daria Kasatkina, 5.0, Break Points Won
PrizePicks, Mon, Jul 31 7:00 PM, Elina Svitolina, 4.0, Break Points Won
PrizePicks, Mon, Jul 31 5:00 AM, Viktoriya Tomova, 4.5, Break Points Won
PrizePicks, Mon, Jul 31 5:00 AM, Dayana Yastremska, 4.5, Break Points Won
PrizePicks, Mon, Jul 31 6:15 AM, Nao Hibino, 5.0, Break Points Won
PrizePicks, Mon, Jul 31 6:15 AM, Viktoria Hrunčáková, 4.5, Break Points Won
PrizePicks, Mon, Jul 31 8:00 AM, Marie Bouzkova, 5.0, Break Points Won
PrizePicks, Mon, Jul 31 9:30 AM, Alizé Cornet, 5.0, Break Points Won
