PrizePicks, KBO, Wed, Jul 12 5:30 AM, Casey Kelly, 4.5, Pitcher Strikeouts
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Brandon Waddell + Tae In Won, 0.5, 1st Inning Runs Allowed
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Casey Kelly, 5.5, Hits Allowed
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Dong-ju Moon, 5.0, Hits Allowed
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Ariel Jurado, 5.0, Hits Allowed
PrizePicks, KBO, Wed, Jul 12 5:30 AM, William Cuevas, 5.0, Hits Allowed
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Erick Fedde, 5.0, Hits Allowed
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Gyun An Na, 5.0, Hits Allowed
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Brandon Waddell, 4.5, Hits Allowed
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Kwang Hyun Kim, 5.5, Hits Allowed
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Thomas Pannone, 5.0, Hits Allowed
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Tae In Won, 5.0, Hits Allowed
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Moon Sung-Ju, 2.0, Hits+Runs+RBIS
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Eun-seong Chae, 1.5, Hits+Runs+RBIS
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Byung Ho Park, 1.5, Hits+Runs+RBIS
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Jung Hoo Lee, 1.5, Hits+Runs+RBIS
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Jun Woo Jeon, 1.5, Hits+Runs+RBIS
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Min Woo Park, 1.5, Hits+Runs+RBIS
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Joo-hwan Choi, 2.0, Hits+Runs+RBIS
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Yang Suk-Hwan, 1.5, Hits+Runs+RBIS
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Park Chan-ho, 2.0, Hits+Runs+RBIS
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Jose Pirela, 2.0, Hits+Runs+RBIS
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Dong-ju Moon, 15.5, Pitching Outs
PrizePicks, KBO, Wed, Jul 12 5:30 AM, William Cuevas, 17.5, Pitching Outs
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Brandon Waddell, 18.5, Pitching Outs
PrizePicks, KBO, Wed, Jul 12 5:30 AM, Kwang Hyun Kim, 17.5, Pitching Outs
